t,index_price,basket_price
0,100.0,100.0
1,110.87138625391076,109.82026172983832
2,112.53772595362811,113.1157328149352
3,120.17727276104154,119.78242335838121
4,138.09089885008862,134.40122848634834
5,153.26420217395852,148.2953451784944
6,154.88997901111094,142.53201060370037
7,154.4964371130428,150.72823132979786
8,157.7593612245826,151.09482342780944
9,165.7596044512347,151.8259799527791
10,156.46121574850372,156.46121574850372
11,162.04023942007296,159.15268951921811
12,175.81410609378065,172.31679341089543
13,186.7212267613753,180.59694036810697
14,198.1024318610515,183.50161655668023
15,194.14434160316975,189.40911375919
16,205.67232322051214,194.46325282838959
17,216.20843566372932,210.93505918412617
18,221.55110213139162,210.88065625048984
19,216.29045893174347,216.29045893174347
20,212.2431796186224,209.21672554980006
21,186.11502984627398,184.6024843237584
22,186.70982708436313,192.4814899929208
23,191.57781166169306,202.72570327086476
24,184.9889281369776,197.23016401832683
25,221.58566949703166,221.58566949703166
26,209.0787537022905,207.68819660702852
27,210.794788013123,210.24025376998625
28,215.13070274415696,210.3749773011324
29,239.51640522957402,228.60164669555908
30,247.68255488180301,247.68255488180301
31,256.3558555901971,252.07826914406954
32,271.4122888060054,259.36537950533403
33,256.7071386560296,250.44598893271183
34,236.60246821448422,228.14632230410075
35,228.03115463591777,226.4590416594579
36,227.73301202943955,230.49396396143905
37,237.94416496230443,246.97763239234092
38,264.29545513071605,264.29545513071605
39,263.51059286606335,261.8199738074649
40,259.81242226279886,260.4807286336616
41,246.40676136515046,249.4291439024151
42,234.33113227614655,234.213742421608
43,213.7099837233445,216.57428349938834
44,230.16978283766,239.86441550891027
45,226.9732245013579,236.1506885295643
46,221.35011380492784,233.33961801723046
47,215.53025779253704,221.05667465901234
48,227.74160494174112,231.86071303758519
49,205.3312923350462,215.4693448827305
50,209.94878569388507,215.33208789116418
51,198.46113324385692,207.84427455714805
52,207.40062439275513,213.94349075231486
53,198.18468744397921,210.61875394855295
54,200.29177751346742,200.29177751346742
55,201.94363877880946,202.0124618581901
56,206.61664513629313,208.35900525968069
57,211.73239769534777,211.1355684266972
58,214.55096250149927,216.44005291408368
59,208.21759386152925,211.73981806718052
60,206.09345105952843,210.01687882327263
61,200.9944837833822,205.05564539280508
62,203.73110975976846,203.41978156709715
63,195.34096550355898,197.1834774289891
64,177.8287408163785,182.13559187563277
65,174.46316752626282,185.57272856606897
66,170.24846895626942,183.70047662082982
67,166.2999689528098,170.56407072083056
68,164.7168852567657,176.21641269603106
69,157.63621282086348,169.9845336721618
70,172.12587470292453,172.12587470292453
71,181.16552347637753,180.12190098757657
72,184.69671263840695,183.08475235147912
73,202.6307394890325,195.34594448292972
74,196.98405839860612,185.2384931203144
75,205.5961066964516,190.8173360180817
76,186.19182751668598,186.19182751668598
77,179.35486950232797,179.9469801617281
78,170.9462398353713,176.53833750624614
79,165.3266712270474,175.55367257792722
80,173.3571556359902,177.8022109087079
81,161.3374563367492,169.2219221312345
82,178.53612083400256,178.53612083400256
83,183.0028492257088,184.4783603227213
84,168.2043242980156,172.15295811092076
85,182.28700649955297,186.68483857087895
86,201.75330782590174,206.24837519536507
87,217.65424833863764,220.46692751057708
88,223.74816659295115,220.68822299896314
89,219.00325436925456,211.07998056332062
90,229.92744944198884,224.31946287023302
91,225.19748962455728,222.04063568960115
92,240.55157536684177,237.83266607266384
93,245.23741080396363,242.68772239900272
94,262.11882267102214,256.9655147915022
95,277.20729580827435,264.11386367463285
96,282.98793555193873,276.08579078237926
97,295.48402246347314,278.9915940164
98,314.3609940653123,306.6936527466462
99,319.4994145870264,311.7067459385624
100,329.1161770474364,321.0889532170111
