t,index_return,basket_return
0,0.10871386253910743,0.0982026172983832
1,0.015029483765100592,0.03000786041836117
2,0.04183835929990093,0.05893689920528696
3,0.12103416104564571,0.1220446599600729
4,0.08280887550560694,0.10337789950749837
5,-0.014041292737945577,-0.03886389399382055
6,0.04911778898105405,0.05750442087627947
7,-0.003785622487803982,0.0024321395851151055
8,0.02508457193409374,0.004839057410322108
9,0.043782080501570994,0.03052992509691862
10,0.035657550306505206,0.0172021785580439
11,0.08500275439608772,0.08271367534814875
12,0.03613444078106769,0.04805188625734968
13,0.03507602527316761,0.016083750824641422
14,0.02779381176403035,0.03219316163727128
15,0.033539908689805956,0.02668371636871334
16,0.08720607796982975,0.0847039536578803
17,-0.0002822228003693812,-0.0002579131882900435
18,0.030728840277751364,0.02565338508254507
19,-0.018712241552912352,-0.03270478696508624
20,-0.10062028640097725,-0.11764949079170393
21,0.02891882888897429,0.04268092977201803
22,0.05238201069073832,0.05322180994297529
23,-0.00963356695141959,-0.027108251020322098
24,0.10569327948212869,0.12348773119938038
25,-0.05644280076022113,-0.06271828372993825
26,0.0082075977613487,0.012287925865072304
27,0.020569364033630903,0.0006408074987083196
28,0.08619801221625495,0.08663896071792287
29,0.08069576300792393,0.08346793849501424
30,0.009773473411908068,0.017747371284845815
31,0.032909805295015984,0.02890812598010868
32,-0.03619368524992884,-0.03438928738150564
33,-0.07831753548733321,-0.08903982341119636
34,-0.011514507503465677,-0.007395607466307632
35,0.0243000365591441,0.017817448455199003
36,0.07162898879889684,0.07151453403638604
37,0.06252410563951857,0.07011899243922057
38,-0.0029696396567414013,-0.009366340870397614
39,-0.014034238863195157,-0.005115137528766779
40,-0.051597459355075224,-0.042427648253354634
41,-0.04900689016040852,-0.061000896858948765
42,-0.0646154236244003,-0.07531350953125064
43,0.1046352071543516,0.10753876976158948
44,0.011397099569815008,-0.015482609087582677
45,0.00023145129740074696,-0.01190371508055932
46,-0.05500401345668826,-0.052639768002496305
47,0.05665722889339449,0.04887451779159551
48,-0.07528447724522304,-0.07069489237789758
49,-0.0036891586577756817,-0.0006370140106984352
50,-0.030478411306961724,-0.034773328059683785
51,0.04504403962016046,0.0293451248929631
52,-0.019933779411083687,-0.015540256878443652
53,-0.05089283367209869,-0.049031609206120604
54,0.008247274480506208,0.008590888583067257
55,0.023140151310247725,0.03141659352652088
56,0.024759634228307625,0.013325861119158395
57,0.013311920314655933,0.02512359488698907
58,-0.029519180739754385,-0.02171610468404818
59,-0.010201552916865558,-0.008137058299356908
60,-0.024741044656840846,-0.02362302238879755
61,0.013615428268845497,-0.007977658077027066
62,-0.016597374622742828,-0.0306573141022227
63,-0.06630720469107355,-0.07631413011658385
64,0.006229821213117199,0.01887130711268764
65,0.0008634876346436827,-0.010089046810413097
66,-0.07286107908736766,-0.07150991734830224
67,0.015877490530883727,0.03313911277628871
68,-0.01844812847372288,-0.03536491821916211
69,0.01600696893007475,0.012597269789806948
70,0.05251766353579735,0.04645452810887685
71,0.01949150751351369,0.016449145537870535
72,0.07034133692347544,0.06697003422716503
73,-0.05157741784891584,-0.051741291017682635
74,0.01826294543514506,0.030117082058877455
75,-0.013500508909497824,-0.024240504547015658
76,-0.03671996835492309,-0.03353985745909409
77,-0.0224437326919007,-0.018942483238220773
78,-0.008075188980905201,-0.005577626606368633
79,0.013202231990589113,0.012808267111487272
80,-0.045471681947785884,-0.04825749203916783
81,0.03728767897875823,0.05504132434770936
82,0.02501862575954179,0.033283121986522994
83,-0.08086499740471934,-0.0668121843138612
84,0.08372366323107386,0.08441260968977998
85,0.07979443636530877,0.10479445880152916
86,0.052501247307899776,0.06893897855798253
87,0.0029250331810539527,0.0010037582093824545
88,-0.04507949793188754,-0.043537631075527126
89,0.0733804736659685,0.06272258634655684
90,-0.020571531711027567,-0.010158847348658984
91,0.06818053686070105,0.07112225351912137
92,0.01947954583118376,0.020413748903843017
93,0.04276782166435511,0.058831951824185644
94,0.03176925447816562,0.027818319858720096
95,0.040580329256415186,0.04532865840959741
96,0.018690406444573593,0.010525001036041023
97,0.0990992137653999,0.09929352469529176
98,0.037843403664469796,0.016345604635180998
99,0.041954800849375494,0.030099468172235085
